facilityName;streetAdress;city;state;zipCode;publicPhone
JEFFERSON COUNTY CLERK OF COURT;1 COURTHOUSE CIR;MONTICELLO;FL;32344;8503420218
GLADES COUNTY CLERK OF COURT;500 AVE J;MOORE HAVEN;FL;33471;8639466010
COLLIER COUNTY CLERK OF CIRCUIT COURT - MAIN OFFICE;3315 E TAMIAMI TRL E;NAPLES;FL;34112;2392527242
COLLIER COUNTY CLERK OF COURT - EAGLE CREEK SATELLITE OFFICE;12668 E TAMIAMI TRAIL;NAPLES;FL;34113;2394173066
COLLIER COUNTY CLERK OF COURT - GOLDEN GATE ANNEX;4715 GOLDEN GATE PKWY;NAPLES;FL;34116;2392525477
COLLIER COUNTY CLERK OF COURT - NORTH COLLIER GOVERNMENT SERVICES CENTER;2335 ORANGE BLOSSOM DR;NAPLES;FL;34109;2392525477
DUVAL COUNTY CLERK OF COURT - BEACHES BRANCH;1543 ALTANTIC BLVD;NEPTUNE BEACH;FL;32266;9042552000
PASCO COUNTY CLERK OF COURT - WEST PASCO GOVERNMENT CENTER;8731 CITIZENS DR;NEW PORT RICHEY;FL;34654;7278478086
USPS NEW PORT RICHEY MAIN POST OFFICE;6550 MAIN ST;NEW PORT RICHEY;FL;34653;7278471659
OKALOOSA COUNTY TAX COLLECTOR - NICEVILLE TAX OFFICE;701 E JOHN SIMS PKWY;NICEVILLE;FL;32578;8506517300
NORTH BAY VILLAGE - OFFICE OF THE VILLAGE CLERK;1666 KENNEDY CSWY;NORTH BAY VILLAGE;FL;33141;3057567171
CITY OF NORTH MIAMI;776 NE 125TH ST;NORTH MIAMI;FL;33161;3058959817
USPS NORTH MIAMI BRANCH;14311 BISCAYNE BLVD;NORTH MIAMI;FL;33181;3053544612
NORTH MIAMI BEACH PUBLIC LIBRARY;1601 NE 164 ST;NORTH MIAMI BEACH;FL;33162;3059482970
USPS OAK HILL POST OFFICE;129 EAST HALIFAX AVENUE;OAK HILL;FL;32759;3863453574
MARION COUNTY CLERK OF COURT - ANNEX BUILDING;19 NORTHWEST PINE AVENUE;OCALA;FL;34475;3526715588
OCALA PADDOCK BRANCH;4545 S.W. 60TH AVENUE;OCALA;FL;34474;3528618188
ORANGE COUNTY CLERK OF COURT - OCOEE BRANCH;475 W STORY RD;OCOEE;FL;34761;4078362007
OKEECHOBEE COUNTY CLERK OF CIRCUIT COURT;312 NW 3RD ST;OKEECHOBEE;FL;34972;8637632131
USPS OLDSMAR POST OFFICE;3905 TAMPA RD;OLDSMAR;FL;34677;8138544660
USPS ONECO POST OFFICE;2333 53RD AVE E;ONECO;FL;34264;9417568216
CLAY COUNTY CLERK OF COURT - ORANGE PARK BRANCH;1478 PARK AVE;ORANGE PARK;FL;32073;9042784769
ORANGE COUNTY CLERK OF COURT - GOLDENROD SERVICE CENTER;684 S GOLDENROD RD;ORLANDO;FL;32822;4078362000
ORANGE COUNTY CLERK OF COURT - ORANGE COUNTY COURTHOUSE;425 N ORANGE AVE;ORLANDO;FL;32801;4078366373
ORLANDO PUBLIC LIBRARY SYSTEM;101 E. CENTRAL BLVD.;ORLANDO;FL;32801;4078357323
UNIVERSITY OF CENTRAL FLORIDA - THE SPOT;106 AQUARIUS AGORA DR;ORLANDO;FL;32816;4078232500
USPS ALAFAYA POST OFFICE;650 NORTH ALAFAYA TRAIL;ORLANDO;FL;32828;4072736788
USPS DIXIE VILLAGE STATION;2860 DELANEY AVE;ORLANDO;FL;32806;4074252868
USPS DOWNTOWN ORLANDO STATION;51 E JEFFERSON ST;ORLANDO;FL;32801;4074256464
USPS HERNDON POST OFFICE;821 HERNDON AVE;ORLANDO;FL;32814;4078976774
USPS ORLANDO LOCKHART BRANCH;5087 EDGEWATER DRIVE;ORLANDO;FL;32810;4072935360
USPS ORLANDO MOWU;10401 POST OFFICE BOULEVARD;ORLANDO;FL;32862;4078506334
USPS SAND LAKE BRANCH;10450 TURKEY LAKE RD;ORLANDO;FL;32819;4073510613
USPS SOUTH CREEK POST OFFICE;1701 WEST WETHERBEE ROAD;ORLANDO;FL;32837;4078556558
USPS OSPREY POST OFFICE;333 S TAMIAMI TRL;OSPREY;FL;34229;9419665381
USPS PAISLEY POST OFFICE;24952 COUNTY ROAD 42;PAISLEY;FL;32767;3526694253
PUTNAM COUNTY CLERK OF COURT - RECORDING DEPARTMENT;518 ST. JOHNS AVE;PALATKA;FL;32177;3863267680
BREVARD COUNTY CLERK OF COURT - PALM BAY OFFICE;450 COGAN DR SE;PALM BAY;FL;32909;3216375413
CITY OF PALM BAY;120 MALABAR RD;PALM BAY;FL;32907;3217333023
PALM BEACH COUNTY CLERK OF COURT - NORTH COUNTY COURTHOUSE;3188 PGA BLVD;PALM BEACH GARDENS;FL;33410;5616246650
USPS PALM BEACH GARDENS BRANCH;3330 FAIRCHILD GARDENS AVE;PALM BEACH GARDENS;FL;33410;5617994068
FLAGLER COUNTY PUBLIC LIBRARY - MAIN BRANCH;2500 PALM COAST PKWY NW;PALM COAST;FL;32137;3864466763
VILLAGE OF PALMETTO BAY;9705 EAST HIBISCUS ST;PALMETTO BAY;FL;33157;3052591234
BAY COUNTY CLERK OF COURT;300 E 4TH ST;PANAMA CITY;FL;32401;8507639061
USPS PANAMA CITY DOWNTOWN STATION;421 JENKS AVENUE;PANAMA CITY;FL;32401;8507636509
USPS PANAMA CITY GMF;1336 SHERMAN AVE;PANAMA CITY;FL;32401;8507474853
CITY OF PEMBROKE PINES;601 CITY CENTER WAY;PEMBROKE PINES;FL;33025;9544501043
ESCAMBIA COUNTY CLERK OF COURT - CLERK COMPTROLLER OFFICES;221 PALAFOX PL;PENSACOLA;FL;32502;8505953930
USPS NOBLES STATION;7150 TIPPIN AVENUE;PENSACOLA;FL;32504;8504776871
USPS WARRINGTON STATION;901 S OLD CORRY FIELD RD;PENSACOLA;FL;32507;8504581602
USPS PLACIDA POST OFFICE;8601 PLACIDA RD;PLACIDA;FL;33946;9416977614
HILLSBOROUGH COUNTY CLERK OF COURT - PLANT CITY BRANCH;301 N MICHIGAN AVE;PLANT CITY;FL;33563;8137573918
USPS PLANT CITY POST OFFICE;2501 WALDEN WOODS DR;PLANT CITY;FL;33566;8137196733
BROWARD COUNTY CLERK OF COURT - WEST REGIONAL COURTHOUSE;100 NORTH PINE ISLAND ROAD;PLANTATION;FL;33324;9548316528
USPS POLK CITY POST OFFICE;112 CARTER BLVD;POLK CITY;FL;33868;8639844547
PONTE VEDRA BEACH POST OFFICE;130 CORRIDOR ROAD;PONTE VEDRA BEACH;FL;32082;9045438607
CHARLOTTE COUNTY CLERK OF COURT- MURDOCK ADMINISTRATION BUILDING;18500 MURDOCK CIR;PORT CHARLOTTE;FL;33948;9417431400
GULF COUNTY CLERK OF COURT - GULF COUNTY COURTHOUSE;1000 CECIL G COSTIN SR BLVD;PORT SAINT JOE;FL;32456;8502296112
SAINT LUCIE COUNTY CLERK OF COURT - SOUTH COUNTY ANNEX;250 NW COUNTRY CLUB DR;PORT ST. LUCIE;FL;34986;7728717200
CHARLOTTE COUNTY CLERK OF COURT - CHARLOTTE COUNTY JUSTICE CENTER;350 E MARION AVE;PUNTA GORDA;FL;33950;9416372245
USPS QUINCY POST OFFICE;772 PAT THOMAS PKWY;QUINCY;FL;32351;8506278490
USPS REDDICK POST OFFICE;15373 NW GAINESVILLE RD;REDDICK;FL;32686;3525912838
USPS RIVERVIEW POST OFFICE;10810 BOYETTE RD;RIVERVIEW;FL;33569;8136724562
